rank,image_a,image_b,phash_hamming_distance,ssim_256_gray,same_sha256
144,1-coins/120_1479351306.jpg,1-coins/120_1479351312.jpg,2,0.9907843018332075,False
145,1-coins/55_1477842156.jpg,1-coins/55_1477842162.jpg,2,0.9907385380372674,False
146,1-coins/100_1477281702.jpg,1-coins/100_1477281708.jpg,2,0.9907290916970791,False
147,1-coins/25_1477285794.jpg,1-coins/25_1477285800.jpg,2,0.9903359657265122,False
148,1-coins/65_1477845636.jpg,1-coins/65_1477845642.jpg,2,0.9889930980256934,False
149,1-coins/50_1477193142.jpg,1-coins/50_1477193244.jpg,2,0.9887501137279032,False
150,1-coins/10_1477147740.jpg,1-coins/10_1477148976.jpg,2,0.9851985387766038,False
151,1-coins/95_1477857606.jpg,1-coins/95_1477857612.jpg,2,0.9845711013090134,False
152,1-coins/95_1477857318.jpg,1-coins/95_1477857324.jpg,2,0.9841830901831371,False
153,1-coins/110_1479347418.jpg,1-coins/110_1479347424.jpg,2,0.9806061914506284,False
154,1-coins/110_1479346104.jpg,1-coins/110_1479346110.jpg,2,0.9778604533549334,False
155,1-coins/120_1479351474.jpg,1-coins/120_1479351480.jpg,2,0.9768470066972984,False
156,1-coins/100_1477858104.jpg,1-coins/100_1477858110.jpg,2,0.9766903383275544,False
157,1-coins/125_1479424668.jpg,1-coins/125_1479424674.jpg,2,0.9754085864487045,False
158,1-coins/10_1477288542.jpg,1-coins/10_1477288548.jpg,2,0.9732176920606119,False
159,1-coins/45_1477835808.jpg,1-coins/45_1477835814.jpg,2,0.9698315490466162,False
160,1-coins/105_1479345234.jpg,1-coins/105_1479345240.jpg,2,0.9671587025133398,False
161,1-coins/50_1477193622.jpg,1-coins/50_1477193730.jpg,2,0.9554597805380689,False
162,1-coins/70_1477846752.jpg,1-coins/70_1477846758.jpg,2,0.9525978976572429,False
163,1-coins/60_1477845300.jpg,1-coins/60_1477845306.jpg,2,0.9466778033154369,False
164,1-coins/80_1477850808.jpg,1-coins/80_1477850814.jpg,2,0.9437154883756033,False
165,1-coins/55_1477842024.jpg,1-coins/55_1477842030.jpg,2,0.9302460411326289,False
166,1-coins/145_1479427536.jpg,1-coins/145_1479427542.jpg,4,0.9934577937517245,False
167,1-coins/115_1479348378.jpg,1-coins/115_1479348384.jpg,4,0.9930523765484794,False
168,1-coins/50_1477282542.jpg,1-coins/50_1477282548.jpg,4,0.993005673665951,False
169,1-coins/25_1477287378.jpg,1-coins/25_1477287384.jpg,4,0.9927969703518102,False
170,1-coins/25_1477191570.jpg,1-coins/25_1477191576.jpg,4,0.9924886277386383,False
171,1-coins/50_1477194504.jpg,1-coins/50_1477194510.jpg,4,0.992278122443627,False
172,1-coins/25_1477287114.jpg,1-coins/25_1477287120.jpg,4,0.9922326958807425,False
173,1-coins/25_1477286502.jpg,1-coins/25_1477286508.jpg,4,0.9922250501901425,False
174,1-coins/50_1477282572.jpg,1-coins/50_1477282578.jpg,4,0.9921982675215257,False
175,1-coins/25_1477285410.jpg,1-coins/25_1477285416.jpg,4,0.9921424506265658,False
176,1-coins/60_1477845384.jpg,1-coins/60_1477845390.jpg,4,0.9921396884208379,False
177,1-coins/25_1477286484.jpg,1-coins/25_1477286490.jpg,4,0.9920648177907094,False
178,1-coins/25_1477286166.jpg,1-coins/25_1477286172.jpg,4,0.9919450436837569,False
179,1-coins/5_1477291932.jpg,1-coins/5_1477291938.jpg,4,0.9917753204243095,False
180,1-coins/5_1477188972.jpg,1-coins/5_1477188978.jpg,4,0.9915976063249513,False
181,1-coins/5_1477188510.jpg,1-coins/5_1477188516.jpg,4,0.9915838799697914,False
182,1-coins/65_1477845516.jpg,1-coins/65_1477845522.jpg,4,0.9915391693009259,False
183,1-coins/5_1477188666.jpg,1-coins/5_1477188672.jpg,4,0.991365685122745,False
184,1-coins/5_1477290474.jpg,1-coins/5_1477290480.jpg,4,0.9913304841728742,False
185,1-coins/5_1477156758.jpg,1-coins/5_1477156764.jpg,4,0.9911721021735621,False
186,1-coins/120_1479351618.jpg,1-coins/120_1479351624.jpg,4,0.9910538020466311,False
187,1-coins/5_1477290150.jpg,1-coins/5_1477290156.jpg,4,0.9909477466465859,False
188,1-coins/115_1479350592.jpg,1-coins/115_1479350598.jpg,4,0.9908310454504521,False
189,1-coins/50_1477145124.jpg,1-coins/50_1477145130.jpg,4,0.990441092076966,False
190,1-coins/70_1477849380.jpg,1-coins/70_1477849386.jpg,4,0.9899974900266383,False
191,1-coins/25_1477285470.jpg,1-coins/25_1477285476.jpg,4,0.9893625661989006,False
192,1-coins/65_1477845624.jpg,1-coins/65_1477845630.jpg,4,0.9892338380650773,False
193,1-coins/70_1477846860.jpg,1-coins/70_1477846866.jpg,4,0.9891402254137398,False
194,1-coins/65_1477846512.jpg,1-coins/65_1477846518.jpg,4,0.9864687084749224,False
195,1-coins/25_1477191678.jpg,1-coins/25_1477191696.jpg,4,0.9856008871808223,False
196,1-coins/60_1477844664.jpg,1-coins/60_1477844670.jpg,4,0.9799373447617125,False
197,1-coins/90_1477854924.jpg,1-coins/90_1477854930.jpg,4,0.9757188917189448,False
198,1-coins/5_1477290750.jpg,1-coins/5_1477290756.jpg,4,0.9746365951524976,False
199,1-coins/25_1477285122.jpg,1-coins/25_1477285128.jpg,4,0.9724501566205034,False
200,1-coins/5_1477290366.jpg,1-coins/5_1477290372.jpg,4,0.9723385486393588,False
